dataset,scenario,endpoint,acquisition_fraction,seed_count,selected_count,total_count,total_fraction,n_bad,method,comparison,recall,impact_fraction,acquisition_recall
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,net_force,shared_seed,0.35,0.22462933895525353,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,rigid_force,shared_seed,0.35,0.2296818016716813,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,force_magnitude,shared_seed,0.28,0.21700836226640555,0.0136986301369863
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,geometry_novelty,shared_seed,0.32,0.22452538544699369,0.0684931506849315
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,trees_log,shared_seed,0.35,0.23243080690691426,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,trees_raw,shared_seed,0.35,0.23243080690691426,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,trees_physics,shared_seed,0.35,0.229994486088657,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,ridge,shared_seed,0.35,0.2333601030294366,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,mp_ridge,shared_seed,0.34,0.23161572819871457,0.0958904109589041
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,reference_oracle,shared_seed,0.35,0.23409476850054517,0.1095890410958904
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,random,shared_seed,0.2773091364205257,0.2195914027138663,0.010012515644555695
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,net_force,total_budget,0.85,0.28620284040017296,
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,rigid_force,total_budget,0.91,0.2880126920540651,
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,force_magnitude,total_budget,0.31,0.18814541279178956,
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,geometry_novelty,total_budget,0.64,0.2670572878255956,
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,random,total_budget,0.209,0.209,
aimnet2,0,worst_decile,0.01,201,8,209,0.209,100,reference_oracle,total_budget,1.0,0.36279640258699225,
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,net_force,shared_seed,0.2737642585551331,0.22462933895525353,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,rigid_force,shared_seed,0.2737642585551331,0.2296818016716813,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,force_magnitude,shared_seed,0.25475285171102663,0.21700836226640555,0.01507537688442211
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,geometry_novelty,shared_seed,0.2661596958174905,0.22452538544699369,0.03015075376884422
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,trees_log,shared_seed,0.2737642585551331,0.23243080690691426,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,trees_raw,shared_seed,0.2737642585551331,0.23243080690691426,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,trees_physics,shared_seed,0.2737642585551331,0.229994486088657,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,ridge,shared_seed,0.2737642585551331,0.2333601030294366,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,mp_ridge,shared_seed,0.2737642585551331,0.23161572819871457,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,reference_oracle,shared_seed,0.2737642585551331,0.23409476850054517,0.04020100502512563
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,random,shared_seed,0.25092201754093757,0.2195914027138663,0.010012515644555695
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,net_force,total_budget,0.5399239543726235,0.28620284040017296,
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,rigid_force,total_budget,0.5893536121673004,0.2880126920540651,
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,force_magnitude,total_budget,0.24714828897338403,0.18814541279178956,
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,geometry_novelty,total_budget,0.3916349809885932,0.2670572878255956,
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,random,total_budget,0.209,0.209,
aimnet2,0,above_5mev,0.01,201,8,209,0.209,263,reference_oracle,total_budget,0.7946768060836502,0.36279640258699225,
aimnet2,0,above_10mev,0.01,201,8,209,0.209,14,net_force,shared_seed,0.5,0.22462933895525353,0.3
aimnet2,0,above_10mev,0.01,201,8,209,0.209,14,rigid_force,shared_seed,0.6428571428571429,0.2296818016716813,0.5
aimnet2,0,above_10mev,0.01,201,8,209,0.209,14,force_magnitude,shared_seed,0.2857142857142857,0.21700836226640555,0.0
aimnet2,0,above_10mev,0.01,201,8,209,0.209,14,geometry_novelty,shared_seed,0.5714285714285714,0.22452538544699369,0.4
