dataset,comparison,method,recall_mean,recall_min,recall_max,impact_mean,total_fraction_mean
aimnet2,shared_seed,force_magnitude,0.306,0.23,0.37,0.25731624670122055,0.2804
aimnet2,shared_seed,geometry_novelty,0.546,0.5,0.6,0.30365129825093623,0.2804
aimnet2,shared_seed,mp_ridge,0.776,0.74,0.81,0.3519089205880733,0.2804
aimnet2,shared_seed,net_force,0.708,0.65,0.76,0.3295789235426634,0.2804
aimnet2,shared_seed,random,0.2804140859550645,0.1999638989169675,0.3430913642052565,0.2804011746463625,0.2804
aimnet2,shared_seed,reference_oracle,0.982,0.95,1.0,0.37461475204833206,0.2804
aimnet2,shared_seed,ridge,0.776,0.73,0.83,0.35061763460412676,0.2804
aimnet2,shared_seed,rigid_force,0.76,0.71,0.81,0.33550416341601175,0.2804
aimnet2,shared_seed,trees_log,0.76,0.72,0.79,0.3416590859916296,0.2804
aimnet2,shared_seed,trees_physics,0.756,0.71,0.8,0.3359538100258993,0.2804
aimnet2,shared_seed,trees_raw,0.76,0.72,0.8,0.33980828483005426,0.2804
aimnet2,total_budget,force_magnitude,0.328,0.32,0.35,0.2548018268955217,0.2804
aimnet2,total_budget,geometry_novelty,0.686,0.67,0.72,0.3435901759833344,0.2804
aimnet2,total_budget,net_force,0.8779999999999999,0.87,0.88,0.34788029545039634,0.2804
aimnet2,total_budget,random,0.2804,0.253,0.302,0.2804,0.2804
aimnet2,total_budget,reference_oracle,1.0,1.0,1.0,0.4457257954614918,0.2804
aimnet2,total_budget,rigid_force,0.95,0.95,0.95,0.3556795786106897,0.2804
transition1x,shared_seed,force_magnitude,0.26799999999999996,0.17,0.38,0.9836423007683545,0.2804
transition1x,shared_seed,geometry_novelty,0.324,0.23,0.41,0.20172148516994093,0.2804
transition1x,shared_seed,mp_ridge,0.352,0.22,0.45,0.20208537555897452,0.2804
transition1x,shared_seed,net_force,0.296,0.2,0.4,0.20199360939369382,0.2804
transition1x,shared_seed,random,0.2804038188894319,0.172434988179669,0.388259212198221,0.28042825591962395,0.2804
transition1x,shared_seed,reference_oracle,0.982,0.93,1.0,0.9852012941440298,0.2804
transition1x,shared_seed,ridge,0.34199999999999997,0.19,0.44,0.20203439802902787,0.2804
transition1x,shared_seed,rigid_force,0.296,0.18,0.41,0.20191866902447644,0.2804
transition1x,shared_seed,trees_log,0.39,0.2,0.49,0.3975606442912609,0.2804
transition1x,shared_seed,trees_physics,0.292,0.18,0.39,0.20189200806011903,0.2804
transition1x,shared_seed,trees_raw,0.364,0.19,0.48,0.3974835527700919,0.2804
transition1x,total_budget,force_magnitude,0.306,0.24,0.38,0.9834869391460069,0.2804
transition1x,total_budget,geometry_novelty,0.33399999999999996,0.28,0.42,0.9834985265837852,0.2804
transition1x,total_budget,net_force,0.27599999999999997,0.23,0.35,0.006647227120803881,0.2804
transition1x,total_budget,random,0.2804,0.239,0.349,0.2804,0.2804
transition1x,total_budget,reference_oracle,1.0,1.0,1.0,0.9868199273454048,0.2804
transition1x,total_budget,rigid_force,0.31799999999999995,0.3,0.35,0.00675400562451336,0.2804
