dataset,fold,repeat,seed_label,seed_count,pool_count,total_count,method,selected_count,recall,impact
aimnet2,0,0,10,10,799,280,trees_log,270,0.2375,0.4534266707492762
aimnet2,0,0,10,10,799,280,trees_raw,270,0.25,0.45644446144725853
aimnet2,0,0,10,10,799,280,trees_physics,270,0.5625,0.34284846992553913
aimnet2,0,0,10,10,799,280,ridge,270,0.675,0.45809918694581847
aimnet2,0,0,10,10,799,280,mp_ridge,270,0.35,0.4617127372841988
aimnet2,0,0,10,10,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,0,10,10,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,0,10,10,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,0,10,10,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,0,20,20,799,280,trees_log,260,0.1875,0.4429086639596974
aimnet2,0,0,20,20,799,280,trees_raw,260,0.2125,0.44694355546585235
aimnet2,0,0,20,20,799,280,trees_physics,260,0.8875,0.378284848249446
aimnet2,0,0,20,20,799,280,ridge,260,0.2125,0.4307764656784305
aimnet2,0,0,20,20,799,280,mp_ridge,260,0.2125,0.43023512108909023
aimnet2,0,0,20,20,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,0,20,20,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,0,20,20,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,0,20,20,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,0,50,50,799,280,trees_log,230,0.9125,0.3704514747361725
aimnet2,0,0,50,50,799,280,trees_raw,230,0.9125,0.3598236366359964
aimnet2,0,0,50,50,799,280,trees_physics,230,0.95,0.35448292449878505
aimnet2,0,0,50,50,799,280,ridge,230,0.95,0.38033106241717535
aimnet2,0,0,50,50,799,280,mp_ridge,230,0.8375,0.38376054854672187
aimnet2,0,0,50,50,799,280,net_force,280,0.8875,0.39706454520096246
