source,scenario,seed,epochs,total_budget,recall,impact,log_rmse
aimnet2,0,20260916,100,281,0.71,0.35706481107292803,0.18722316425339774
aimnet2,1,20260916,100,282,0.67,0.34468632099968644,0.1973344315835659
aimnet2,2,20260916,100,302,0.66,0.35663218848523703,0.1908286082532497
aimnet2,3,20260916,50,253,0.64,0.31575412685993715,0.1879670117370153
aimnet2,4,20260916,25,284,0.65,0.3493064299202485,0.19409316781509264
transition1x,0,20260916,25,250,0.37,0.005887485559979183,0.2692288389193979
transition1x,1,20260916,10,292,0.51,0.9841580276887282,0.22258121482272183
transition1x,2,20260916,25,272,0.46,0.9839788441923323,0.2626656460493098
transition1x,3,20260916,100,239,0.25,0.005380676409064302,0.28783392114308803
transition1x,4,20260916,10,349,0.49,0.985738278143408,0.2698060803349993
